ETA,EXP_REGION_CODE,IMP_REGION_CODE,EXP_INVOICE_CURRENCY,EXP_PRICE,MID_INVOICE_CURRENCY,MID_PRICE,M3,CNT
2013/11/23,C1,C1,THB,17.053,USD,0.638,2.4,2
2013/11/23,C1,C2,THB,32929.83,USD,1122.85,368.424,46
2013/11/22,ID,C1,USD,0.94,USD,1.012,18,1
2013/11/22,ID,VN,USD,3680.91,USD,124.376,13.706,46
2013/11/22,C1,PK,THB,52022.36,THB,53018.725,65.471,212
2013/11/22,C1,ZA,THB,16763.03,USD,557.07,95.763,170
2013/11/22,C1,ZA,THB,3075.97,USD,103.657,16.066,23
2013/11/21,C1,AR,THB,54951.66,USD,1867.83,293.129,493
2013/11/21,C1,AU,THB,9166.5,AUD,306.21,9.585,8
2013/11/21,C1,AU,THB,9332.02,USD,318.86,71.53,32
2013/11/21,C1,US,THB,8769.56,USD,296.71,3.91,4
2013/11/20,C1,AR,THB,967.13,USD,32.24,7.104,4
2013/11/20,C1,GB,THB,47.18,USD,1.625,3.85,1
2013/11/20,C1,US,THB,231.58,USD,8.09,11.403,5
2013/11/19,C1,A0,USD,52022.36,THB,53018.725,65.471,212
2013/11/18,ID,BR,USD,16763.03,USD,557.07,95.763,170
2013/11/18,C1,BR,THB,3075.97,USD,103.657,16.066,23
2013/11/18,C1,CZ,THB,231.58,USD,8.09,11.403,5
2013/11/18,C1,I2,THB,0.162,,,0.059,3
2013/11/17,PH,ID,JPY,87.216,USD,90.212,15.908,10
2013/11/17,PH,ID,USD,9390.39,USD,326.655,36.689,97
2013/11/17,C1,MY,THB,91.88,USD,3.28,3.2,2
2013/11/17,C1,ZA,THB,925.91,USD,31.619,43.956,20
2013/11/17,C1,ZA,THB,19603.8,USD,660.246,75.954,103
2013/11/16,C1,A0,THB,442.3,USD,15.035,9.672,3
2013/11/16,C1,BR,THB,53358.81,THB,54527.465,78.714,57
2013/11/15,C1,A0,USD,27016.21,USD,917.507,238.374,400
2013/11/15,ID,PH,USD,32152.75,THB,32769.352,87.369,170
2013/11/15,C1,BR,THB,18842.25,USD,626.191,107.154,174
2013/11/15,C1,I1,THB,2278.58,USD,2278.58,267.46,317
2013/11/15,C1,I3,THB,215.14,USD,220.266,36.017,18
2013/11/15,C1,ID,THB,76.772,THB,2432.82,95.036,19
2013/11/15,C1,ID,THB,510.259,USD,530.704,39.494,127
2013/11/15,C1,ZA,THB,9166.5,AUD,306.21,13.077,8
2013/11/15,C1,ZA,THB,9600.47,USD,327.87,67.337,36
2013/11/14,AR,VE,USD,29362.19,USD,1045.58,162.199,235
2013/11/14,ID,MY,USD,41096.46,THB,41986.23,102.713,140
2013/11/14,ID,TH,USD,1563.25,USD,53.221,34.56,2
2013/11/14,ID,VN,USD,10.81,,,16.188,1
2013/11/14,C1,AU,THB,1924.492,USD,19.51,4.614,3
2013/11/14,C1,AU,THB,16.586,USD,0.622,2.52,2
2013/11/14,C1,PK,THB,297.539,USD,305.503,24.604,30
2013/11/14,C1,TW,THB,85853.24,USD,2976.94,257.266,668
2013/11/14,C1,ZA,THB,127525.56,THB,130521.45,268.7,594
2013/11/13,C1,TW,USD,47108.23,USD,1597.334,121.532,233
2013/11/13,C1,AR,THB,1924.492,USD,19.51,4.614,3
2013/11/13,C1,MX,THB,16.586,USD,0.622,2.52,2
2013/11/12,ID,TW,USD,297.539,USD,305.503,24.604,30
2013/11/12,C1,AR,THB,85853.24,USD,2976.94,257.266,668
2013/11/12,C1,MY,THB,127525.56,THB,130521.45,268.7,594
2013/11/12,C1,PH,THB,47108.23,USD,1597.334,121.532,233
2013/11/12,C1,VN,THB,97596.49,USD,3317.826,127.469,577
2013/11/11,ID,C1,USD,9.418,USD,9.532,3,2
2013/11/11,ID,MY,USD,700.663,USD,723.17,60.928,125
2013/11/11,C1,AR,THB,792.75,USD,27.38,6.994,4
2013/11/11,C1,I2,THB,865.77,USD,30.342,44.064,4
2013/11/10,ID,ZA,USD,80.15,USD,81.452,19.465,16
2013/11/10,PH,ID,USD,218.872,USD,222.177,47.401,36
2013/11/10,TH,C1,THB,174.18,USD,5.681,1.517,1
2013/11/10,TH,C2,THB,686.01,USD,23.103,20.443,8
2013/11/10,TH,EG,THB,107.79,USD,3.25,0.397,17
2013/11/10,TH,ID,THB,103932.1,THB,107345.591,70.153,58
2013/11/10,TH,ID,THB,104763.47,USD,3525.9,333.108,784
2013/11/10,TH,MY,THB,2115.53,THB,2174.4,15.539,37
2013/11/10,TH,ZA,THB,30495.73,THB,31080.897,65.471,152
2013/11/10,C1,ZA,THB,14547.25,USD,483.466,51.929,134
2013/11/9,ID,PH,USD,519.644,USD,537.298,66.38,112
2013/11/9,PH,AU,USD,17.88,AUD,18.09,4.56,2
2013/11/9,C1,C1,THB,2794.35,USD,94.263,26.798,17
2013/11/9,C1,MY,THB,81087.7,THB,82948.94,176.03,366
2013/11/9,C1,VE,THB,17.88,AUD,18.09,4.56,2
2013/11/8,C1,C1,THB,2794.35,USD,94.263,26.798,17
2013/11/8,C1,C3,THB,81087.7,THB,82948.94,176.03,366
2013/11/8,C1,I1,THB,14.16,USD,0.1,0.012,1
2013/11/8,C1,I2,THB,297.539,USD,305.503,24.604,30
2013/11/8,C1,ID,THB,85853.24,USD,2976.94,257.266,668
2013/11/8,C1,ID,THB,127525.56,THB,130521.45,268.7,594
2013/11/8,C1,MY,THB,47108.23,USD,1597.334,121.532,233
2013/11/8,C1,ZA,THB,1924.492,USD,19.51,4.614,3
2013/11/8,C1,ZA,THB,16.586,USD,0.622,2.52,2
2013/11/7,C2,TH,USD,297.539,USD,305.503,24.604,30
2013/11/7,ID,AR,USD,85853.24,USD,2976.94,257.266,668
2013/11/7,ID,MY,USD,127525.56,THB,130521.45,268.7,594
2013/11/7,ID,TH,USD,47108.23,USD,1597.334,121.532,233
2013/11/7,ID,VN,USD,97596.49,USD,3317.826,127.469,577
2013/11/7,PH,AR,USD,9.418,USD,9.532,3,2
2013/11/7,C1,AR,THB,700.663,USD,723.17,60.928,125
2013/11/7,C1,AU,THB,792.75,USD,27.38,6.994,4
2013/11/7,C1,AU,THB,865.77,USD,30.342,44.064,4
2013/11/7,C1,I3,THB,80.15,USD,81.452,19.465,16
2013/11/7,TH,MY,THB,218.872,USD,222.177,47.401,36
2013/11/7,TH,TW,THB,174.18,USD,5.681,1.517,1
2013/11/7,TH,US,THB,686.01,USD,23.103,20.443,8
2013/11/6,TH,TW,USD,107.79,USD,3.25,0.397,17
2013/11/6,ID,TH,USD,103932.1,THB,107345.591,70.153,58
2013/11/6,C1,BR,THB,104763.47,USD,3525.9,333.108,784
2013/11/6,C1,MY,THB,2115.53,THB,2174.4,15.539,37
2013/11/5,C1,A0,USD,30495.73,THB,31080.897,65.471,152
2013/11/5,ID,PH,USD,14547.25,USD,483.466,51.929,134
2013/11/5,ID,TW,USD,519.644,USD,537.298,66.38,112
2013/11/5,PH,MY,USD,17.88,AUD,18.09,4.56,2
2013/11/5,C1,BR,THB,2794.35,USD,94.263,26.798,17
2013/11/5,C1,MY,THB,81087.7,THB,82948.94,176.03,366
2013/11/5,C1,VN,THB,14.16,USD,0.1,0.012,1
2013/11/4,ID,BR,USD,175.79,USD,7.051,1.517,1
2013/11/4,ID,MY,USD,10.43,USD,0.351,0.8,1
2013/11/4,PH,AU,USD,11111.28,USD,374.866,31.415,81
2013/11/4,PH,ID,USD,865.77,USD,30.342,42.444,4
2013/11/4,C1,BR,THB,570.46,USD,587.459,63.38,86
2013/11/4,C1,I2,THB,27.44,AUD,27.82,1.648,3
2013/11/4,C1,MY,THB,214.186,USD,217.437,51.459,35
2013/11/3,C1,ID,THB,4655.49,USD,164.893,13.432,38
2013/11/3,C1,ID,THB,101.89,USD,3.462,0.972,3
2013/11/3,C1,MY,THB,2873.83,THB,2956.85,16.111,38
2013/11/3,C1,PH,THB,78541.79,THB,81149.143,74.124,59
2013/11/2,C1,A0,USD,106713.02,USD,3584.752,386.378,810
2013/11/2,C1,MY,THB,69137.59,THB,70728.62,229.657,343
2013/11/1,C1,A0,USD,27978.04,USD,948.859,105.026,156
2013/11/1,ID,VN,USD,11.54,,,49.4,2
2013/11/1,MY,I1,USD,75349.66,THB,77081.13,191.44,330
2013/11/1,C1,AR,THB,0.194,,,6.93,4
2013/11/1,C1,C1,THB,553.521,USD,574.846,30.56,139
2013/11/1,C1,I1,THB,17211.08,USD,579.653,71.094,93
2013/11/1,C1,I3,THB,457.65,USD,15.585,9.52,5
2013/11/1,C1,ID,THB,56522.67,THB,58386.588,109.625,42
2013/11/1,C1,ID,THB,27410.2,USD,932.377,243.836,375
2013/11/1,C1,MY,THB,38200.35,THB,39070.03,22.069,141
2013/11/1,C1,ZA,THB,32662.91,THB,33289.465,74.329,162
2013/11/1,C1,ZA,THB,21065.85,USD,706.698,82.107,186
2013/10/31,C1,BE,EUR,4.11,,,3.56,8
2013/10/31,ID,MY,USD,570.858,USD,587.931,112.732,106
2013/10/31,C1,AR,THB,56261.84,USD,2000.74,388.099,437
2013/10/31,C1,AU,THB,9166.5,AUD,306.21,11.025,8
2013/10/31,C1,AU,THB,18645.47,USD,652.19,110.26,62
2013/10/31,C1,I3,THB,81087.7,THB,82948.94,176.03,366
2013/10/31,C1,MY,THB,14.16,USD,0.1,0.012,1
2013/10/31,TH,PK,THB,175.79,USD,7.051,1.517,1
2013/10/31,TH,TW,THB,10.43,USD,0.351,0.8,1
2013/10/31,TH,VN,THB,11111.28,USD,374.866,31.415,81
2013/10/31,TH,ZA,THB,865.77,USD,30.342,42.444,4
2013/10/30,TH,ID,USD,570.46,USD,587.459,63.38,86
2013/10/30,TH,TW,USD,27.44,AUD,27.82,1.648,3
2013/10/30,TH,GB,THB,214.186,USD,217.437,51.459,35
2013/10/30,TH,MX,THB,4655.49,USD,164.893,13.432,38
2013/10/30,TH,MY,THB,101.89,USD,3.462,0.972,3
2013/10/30,TW,TH,USD,2873.83,THB,2956.85,16.111,38
2013/10/29,ID,MY,USD,78541.79,THB,81149.143,74.124,59
2013/10/29,C1,AU,THB,106713.02,USD,3584.752,386.378,810
2013/10/29,C1,CZ,THB,69137.59,THB,70728.62,229.657,343
2013/10/29,C1,MY,THB,27978.04,USD,948.859,105.026,156
2013/10/28,ID,BR,USD,11.54,,,49.4,2
2013/10/28,ID,MY,USD,75349.66,THB,77081.13,191.44,330
2013/10/28,ID,PH,USD,0.194,,,6.93,4
2013/10/28,C1,BR,THB,553.521,USD,574.846,30.56,139
2013/10/28,C1,I2,THB,17211.08,USD,579.653,71.094,93
2013/10/28,C1,ID,THB,457.65,USD,15.585,9.52,5
2013/10/28,C1,ID,THB,56522.67,THB,58386.588,109.625,42
2013/10/28,C1,MY,THB,27410.2,USD,932.377,243.836,375
2013/10/28,C1,PH,THB,38200.35,THB,39070.03,22.069,141
2013/10/28,TW,ID,USD,32662.91,THB,33289.465,74.329,162
2013/10/27,ID,ZA,USD,21065.85,USD,706.698,82.107,186
2013/10/27,PH,ID,USD,4.11,,,3.56,8
2013/10/27,C1,MY,THB,570.858,USD,587.931,112.732,106
2013/10/27,C1,ZA,THB,56261.84,USD,2000.74,388.099,437
2013/10/27,C1,ZA,THB,9166.5,AUD,306.21,11.025,8
2013/10/27,TW,VN,USD,18645.47,USD,652.19,110.26,62
2013/10/26,C1,A0,JPY,1182.18,USD,42.55,1.28,2
2013/10/26,C1,AR,THB,69495.31,THB,71085.21,153.715,328
2013/10/26,C1,C1,THB,29478.64,USD,1063.53,168.44,195
2013/10/26,C1,C2,THB,37446.74,THB,38244,106.269,135
2013/10/26,C1,ID,THB,55261.41,USD,1878.85,98.753,365
2013/10/26,C1,MY,THB,781.61,USD,27.238,34.56,1
2013/10/26,C1,VN,THB,0.93,USD,1,18,1
2013/10/25,ID,C1,USD,21.93,,,0.693,1
2013/10/25,ID,TH,USD,47.13,USD,1.713,3.85,1
2013/10/25,ID,ZA,USD,71.27,USD,72.246,28.849,7
2013/10/25,C1,AR,THB,0.93,USD,1,18,1
2013/10/25,C1,BR,THB,21.93,,,0.693,1
2013/10/25,C1,I1,THB,47.13,USD,1.713,3.85,1
2013/10/25,C1,I3,THB,71.27,USD,72.246,28.849,7
2013/10/25,C1,ID,THB,1152.99,USD,39.24,11.584,7
2013/10/25,C1,ID,THB,63.95,USD,2.27,0.102,1
2013/10/25,C1,MY,THB,18772.3,USD,635.481,75.497,105
2013/10/25,C1,PK,THB,1161.9,USD,41.524,5.12,2
2013/10/25,C1,ZA,THB,56522.67,THB,58386.588,100.175,42
2013/10/25,C1,ZA,THB,27298.8,USD,926.323,222.795,395
2013/10/24,C2,TH,USD,63538.18,THB,65002.57,183.54,283
2013/10/24,ID,VN,USD,14030.15,USD,498.69,41.428,122
2013/10/24,C1,AR,THB,55353.61,THB,56409.982,149.328,238
2013/10/24,C1,AU,THB,17195.51,USD,599.09,136.377,165
2013/10/24,C1,AU,THB,13.97,THB,427.46,6.492,2
2013/10/24,C1,TW,THB,847.593,USD,881.226,40.352,211
2013/10/24,C1,ZA,THB,58422.68,USD,2077.19,385.49,504
2013/10/24,TW,ID,USD,9166.5,AUD,306.21,15.507,8
2013/10/23,C1,TW,USD,9600.32,USD,343.37,185.496,36
2013/10/23,C1,C1,THB,38368.74,THB,39165.69,103.004,129
2013/10/23,C1,ID,THB,781.61,USD,27.238,34.56,1
2013/10/23,C1,ID,THB,0.921,USD,1.14,0.024,1
2013/10/23,C1,MY,THB,21.88,,,14.484,2
2013/10/23,TW,BR,USD,171.55,USD,6.865,3.034,1
2013/10/22,C1,A0,USD,98665.86,THB,101970,80.457,59
2013/10/22,ID,I1,USD,110285.09,USD,3701.23,340.98,756
2013/10/22,ID,TW,USD,28940.48,THB,29672.06,274.947,185
2013/10/22,C1,I2,THB,8.3,USD,8.777,0.471,1
2013/10/22,C1,MY,THB,0.162,,,0.032,3
2013/10/22,C1,PK,THB,17.638,USD,18.297,11.915,14
2013/10/22,C1,VN,THB,692.66,USD,710.802,33.724,55
2013/10/21,ID,PH,USD,627.77,USD,22.561,40.824,3
2013/10/21,C1,BR,THB,74088.53,THB,75785.97,192.342,366
2013/10/21,C1,I2,THB,16772.26,USD,599.29,366.966,24
2013/10/20,C2,ZA,USD,55670.07,USD,1892.549,122.534,368
2013/10/20,PH,ID,USD,628.93,USD,650.685,50.38,129
2013/10/20,PH,VN,USD,6700.1,USD,237.402,21.252,53
2013/10/20,C1,MY,THB,351.35,USD,12.49,1.383,21
2013/10/20,C1,PH,THB,2.1,USD,2.072,0.46,2
2013/10/20,C1,ZA,THB,225.444,USD,229.007,39.564,34
2013/10/20,C1,ZA,THB,42.211,USD,44.953,9.34,6
2013/10/19,C1,A0,USD,65111.02,THB,66640.73,114.632,337
2013/10/19,MY,ID,USD,38274.33,USD,1295.109,86.119,171
2013/10/19,MY,PH,USD,32404.6,THB,33023.649,142.371,185
2013/10/19,PH,AU,USD,16732.01,USD,582.944,100.808,158
2013/10/19,C1,A0,THB,1.017,,,1.56,1
2013/10/19,C1,MY,THB,0.23,USD,0.237,8.016,1
2013/10/18,C1,A0,USD,1.217,USD,1.284,0.864,5
2013/10/18,ID,TH,USD,35.85,AUD,36.36,10.4,4
2013/10/18,MY,ID,USD,17.89,THB,18.31,16.2,2
2013/10/18,C1,C1,THB,73057.97,THB,74732.31,177.861,342
2013/10/18,C1,I1,THB,0.194,,,6.318,4
2013/10/18,C1,I3,THB,72914.64,USD,2513.724,118.583,564
2013/10/18,C1,ID,THB,33003.56,THB,33634.131,145.843,190
2013/10/18,C1,ID,THB,16811.2,USD,585.742,133.85,164
2013/10/18,C1,VE,THB,5.23,THB,189.45,0.928,1
2013/10/18,C1,VN,THB,630.417,USD,649.164,83.503,116
2013/10/18,C1,ZA,THB,501.049,USD,520.748,39.749,131
2013/10/18,C1,ZA,THB,90708.25,USD,3225.9,337.189,696
2013/10/17,C2,TH,USD,9166.5,AUD,306.21,14.001,8
2013/10/17,ID,MY,USD,9600.32,USD,343.37,187.303,36
2013/10/17,ID,VN,USD,893.06,USD,44.46,15,2
2013/10/17,C1,AR,THB,61880.74,THB,63301.75,143.744,240
2013/10/17,C1,AU,THB,20622.73,USD,762.4,64.608,178
2013/10/17,C1,AU,THB,52185.69,THB,53291.8,145.213,205
2013/10/17,C1,ID,THB,30.19,THB,933.615,7.104,3
2013/10/17,C1,MY,THB,77849.69,THB,79635.14,192.096,331
2013/10/17,C1,PK,THB,236.43,USD,8.75,9.106,5
2013/10/17,C1,TW,THB,996.828,USD,1030.535,84.944,188
2013/10/16,PH,TH,USD,377.879,USD,387.588,53.297,36
2013/10/16,C1,MY,THB,88635.72,THB,91577.138,74.116,54
2013/10/16,C1,US,THB,118976.17,USD,4010.302,442.385,798
2013/10/15,ID,PH,USD,83127.55,THB,85059.33,245.145,402
2013/10/15,ID,TW,USD,16154.77,USD,577.39,247.548,21
2013/10/15,C1,ID,THB,1149.909,USD,1183.894,120.237,189
2013/10/15,C1,ID,THB,9170.44,USD,325.253,14.612,71
2013/10/15,C1,MY,THB,842.78,USD,29.798,19.732,8
2013/10/15,C1,PK,THB,627.77,USD,22.561,79.218,3
2013/10/14,ID,MY,USD,2013.9,THB,2070.12,15.684,33
2013/10/14,C1,BR,THB,53823.03,USD,1867.78,172.033,282
2013/10/14,C1,C2,THB,58.49,USD,59.453,22.074,11
2013/10/14,C1,I2,THB,4342.86,JPY,4599.35,70.975,3
2013/10/14,C1,MY,THB,304.179,USD,309.007,41.739,40
2013/10/14,C1,PH,THB,20848.8,THB,21346.76,187.308,122
2013/10/13,ID,ZA,USD,31574.81,THB,32177.742,88.341,167
2013/10/13,PH,ID,JPY,16662.81,USD,580.543,108.024,157
2013/10/13,PH,ID,USD,2.921,THB,140.06,0.396,1
2013/10/13,C1,MY,THB,1290.26,THB,1317.991,21.979,5
2013/10/13,C1,ZA,THB,1336.212,USD,13.25,4.058,2
2013/10/13,C1,ZA,THB,1436.93,USD,50.398,21.763,19
2013/10/12,ID,TH,USD,17.053,USD,0.638,3,2
2013/10/12,C1,A0,THB,68496.85,THB,70067.97,197.8,335
2013/10/12,C1,AR,THB,5.29,THB,191.13,0.832,1
2013/10/12,C1,C1,THB,96.379,THB,2949.3,108.203,18
2013/10/12,C1,MX,THB,7.739,USD,7.957,0.189,3
2013/10/12,C1,MY,THB,173.67,USD,7.128,1.517,1
2013/10/11,C2,TH,USD,17739.99,USD,624.908,75.33,107
2013/10/11,ID,TH,USD,96.379,THB,2949.3,108.203,18
2013/10/11,ID,VN,USD,7.739,USD,7.957,0.189,3
2013/10/11,C1,C1,THB,7.739,USD,7.957,0.189,3
2013/10/11,C1,I1,THB,173.67,USD,7.128,1.517,1
2013/10/11,C1,I3,THB,17739.99,USD,624.908,75.33,107
2013/10/11,C1,ID,THB,96.379,THB,2949.3,108.203,18
2013/10/11,C1,ID,THB,7.739,USD,7.957,0.189,3
2013/10/11,C1,MY,THB,173.67,USD,7.128,1.517,1
2013/10/11,C1,PK,THB,17739.99,USD,624.908,75.33,107
2013/10/11,C1,VN,THB,1746.24,USD,62.454,3.84,3
2013/10/11,C1,ZA,THB,112029.48,THB,109359.225,121.349,76
2013/10/11,C1,ZA,THB,39227.85,USD,1355.664,273.092,610
2013/10/10,ID,VN,USD,65881.96,THB,67371.51,127.441,338
2013/10/10,C1,AR,THB,28294.13,USD,1049.09,140.003,203
2013/10/10,C1,AU,THB,249.39,USD,10.79,0.378,1
2013/10/10,C1,AU,THB,32615.93,THB,33238.876,148.305,175
2013/10/10,C1,I3,THB,15246.01,USD,531.194,89.933,147
2013/10/10,C1,MY,THB,510.566,USD,530.533,39.351,129
2013/10/10,C1,TW,THB,69061.19,USD,2455.85,382.15,475
2013/10/10,C1,VN,THB,9166.5,AUD,306.21,18.612,8
2013/10/10,C1,ZA,THB,9600.32,USD,343.37,224.233,36
2013/10/9,C1,TW,USD,2323.8,USD,83.048,5.12,4
2013/10/9,C2,TH,USD,79927.54,THB,81810.84,236.494,367
2013/10/9,ID,ZA,USD,32318.87,THB,32935.58,63.739,110
2013/10/9,PH,AR,USD,90252.76,USD,3151.45,126.195,463
2013/10/9,C1,ID,THB,1563.22,USD,54.476,69.12,2
2013/10/9,C1,MY,THB,10.94,,,29.82,1
2013/10/9,C1,PH,THB,233.48,THB,7454.28,9.032,11
2013/10/8,C1,BR,THB,68.66,USD,69.79,21.354,14
2013/10/8,C1,GB,THB,4.81,USD,4.98,0.972,1
2013/10/8,C1,MY,THB,516.79,USD,17.607,1.008,8
2013/10/7,ID,BR,USD,74927.04,THB,76668.02,174.777,347
2013/10/7,ID,MY,USD,26952.08,USD,956.797,130.124,148
2013/10/7,C1,BR,THB,1170.9,USD,39.569,0.152,2
2013/10/7,C1,I2,THB,47.13,USD,1.713,3.3,1
2013/10/7,C1,TR,THB,66225.16,THB,67742.23,205.844,329
2013/10/7,C1,VE,THB,86.927,USD,89.899,50.338,8
2013/10/6,ID,PH,USD,520.364,USD,538.052,70.65,110
2013/10/6,C1,BR,THB,1918.5,USD,64.804,1.232,2
2013/10/6,C1,ID,THB,56341.29,THB,51831.026,86.064,41
2013/10/6,C1,ID,THB,122277.12,USD,4215.773,399.426,792
2013/10/6,C1,MY,THB,2103.33,THB,2161.9,15.706,36
2013/10/6,C1,VN,THB,248.07,USD,8.35,0.351,1
2013/10/6,C1,ZA,THB,32110.76,THB,32724.152,105.274,169
2013/10/6,C1,ZA,THB,17996.78,USD,626.997,139.998,181
2013/10/5,PH,ID,USD,326.019,USD,331.209,101.598,57
2013/10/5,C1,AR,THB,136.46,USD,4.65,5.04,1
2013/10/5,C1,BR,THB,47.13,USD,1.713,3.3,1
2013/10/5,C1,ID,THB,111,THB,67742.23,205.844,329
2013/10/5,C1,MY,THB,86.927,USD,89.899,50.338,8
2013/10/4,C1,A0,USD,520.364,USD,538.052,70.65,110
2013/10/4,ID,BR,USD,1918.5,USD,64.804,1.232,2
2013/10/4,ID,C1,USD,56341.29,THB,51831.026,86.064,41
2013/10/4,ID,TH,USD,122277.12,USD,4215.773,399.426,792
2013/10/4,C1,AR,THB,2103.33,THB,2161.9,15.706,36
2013/10/4,C1,C1,THB,248.07,USD,8.35,0.351,1
2013/10/4,C1,I1,THB,32110.76,THB,32724.152,105.274,169
2013/10/4,C1,I3,THB,17996.78,USD,626.997,139.998,181
2013/10/4,C1,ID,THB,326.019,USD,331.209,101.598,57
2013/10/4,C1,ID,THB,136.46,USD,4.65,5.04,1
2013/10/4,C1,MY,THB,6.46,USD,0.233,0.48,1
2013/10/4,C1,ZA,THB,880.3,USD,43.4,11.64,2
2013/10/4,C1,ZA,THB,95967.11,THB,98334.57,213.151,475
2013/10/3,ID,AR,USD,0.194,,,5.685,4
2013/10/3,ID,VN,USD,8.713,USD,9.017,0.625,1
2013/10/3,C1,AR,THB,9.404,USD,12.988,3.024,2
2013/10/3,C1,AU,THB,69.076,THB,2105.97,121.929,14
2013/10/3,C1,AU,THB,826.18,USD,28.11,7.568,4
2013/10/3,C1,ID,THB,173.67,USD,7.128,1.517,1
2013/10/3,C1,MY,THB,17786.6,USD,626.363,107.423,107
2013/10/3,C1,PK,THB,473.73,USD,16.967,11.42,5
2013/10/3,C1,TW,THB,77909.23,THB,67738.228,120.675,52
2013/10/2,C1,BE,EUR,37876.08,USD,1349.136,242.29,542
2013/10/2,C1,AR,THB,15652.96,THB,16009.54,17.586,52
2013/10/2,C1,I2,THB,33154.14,THB,33787.177,186.61,190
2013/10/2,C1,ID,THB,17467.67,USD,608.568,160.795,171
2013/10/2,C1,MX,THB,7.17,USD,7.46,4.696,3
2013/10/2,C1,MY,THB,583.509,USD,605.842,39.759,139
2013/10/2,TW,TH,USD,56892.19,USD,2021.83,433.006,447
2013/10/1,C1,A0,USD,12161.68,AUD,406.48,22.659,13
2013/10/1,ID,BR,USD,19299.07,USD,690.15,225.758,70
2013/10/1,ID,I1,USD,10886.59,USD,387.449,103.999,142
2013/10/1,ID,TW,USD,57035.32,THB,58351.67,109.729,263
2013/10/1,PH,ID,USD,24130.69,USD,886.06,181.334,217
2013/10/1,C1,ID,THB,34821,THB,35586,116.547,126
2013/10/1,C1,ID,THB,4.09,,,3.32,8
2013/10/1,C1,MY,THB,573.3,USD,19.51,4.836,3
2013/10/1,C1,VN,THB,204.02,USD,7.516,0.084,6
2013/9/30,ID,MY,USD,410.52,USD,14.947,3.8,1
2013/9/30,C1,BR,THB,17.053,USD,0.638,3,2
2013/9/30,C1,PH,THB,69422.19,THB,71016.49,146.407,311
2013/9/30,TW,ID,USD,59.59,THB,1813.8,8.778,25
2013/9/29,C1,I2,THB,0.162,,,0.027,3
2013/9/29,C1,MY,THB,94.765,USD,98.003,19.343,9
2013/9/29,C1,ZA,THB,21.594,USD,22.336,14.605,22
2013/9/29,C1,ZA,THB,661.136,USD,678.597,53.516,58
2013/9/29,TW,VN,USD,325.416,USD,330.591,97.233,48
2013/9/28,C1,A0,USD,56364.74,THB,51855.144,106.45,41
2013/9/28,ID,PH,USD,76336.63,USD,2671.625,355.084,509
