source,target,value
E-TH-SAB,I-AR-CORDE,301
E-TH-TCPT1,I-AR-CORDE,1189
E-TH-TER1,I-AR-CORDE,8696
E-TH-YNP,I-AR-CORDE,981
E-TH-AAA,I-AR-DENSO,95
E-TH-CCI,I-AR-DENSO,245
E-TH-DAT,I-AR-DENSO,1379
E-TH-DAT2,I-AR-DENSO,5512
E-TH-REP,I-AR-DENSO,568
E-TH-SNC,I-AR-DENSO,1343
E-TH-TBAFT,I-AR-DENSO,877
E-TH-ATC,I-AR-EMCON,376
E-TH-SGP,I-AR-EMCON,30
E-TH-YSP,I-AR-EMCON,32545
E-TH-TCPT1,I-AR-FRIC,549
E-TH-TER1,I-AR-FRIC,110
E-TH-MIT,I-AR-GPPD,1891
E-TH-TBSJ,I-AR-GPPD,550
E-TH-AHT,I-AR-GUIDI,3969
E-TH-ATC,I-AR-GUIDI,3958
E-TH-CAP,I-AR-GUIDI,213
E-TH-HMMT1,I-AR-GUIDI,301
E-TH-IRC,I-AR-GUIDI,1189
E-TH-OTC,I-AR-GUIDI,8696
E-TH-YSP,I-AR-GUIDI,981
E-TH-AST,I-AR-HUT,95
E-TH-KSP,I-AR-HUT,588
E-TH-NMT,I-AR-HUT,52
E-TH-TCPT,I-AR-HUT,10
E-TH-THB2,I-AR-HUT,49
E-TH-THC2,I-AR-HUT,12
E-TH-AHT1B,I-AR-INERG,638
E-TH-DSTH3,I-AR-INERG,33736
E-TH-NFCT,I-AR-INERG,748
E-TH-TGAS2,I-AR-INERG,2617
E-TH-TOGO,I-AR-INERG,2
E-TH-JATHJ,I-AR-JTEKT,10645
E-TH-ATC,I-AR-MARO,3445
E-TH-NSW1,I-AR-MARO,79
E-TH-OTC,I-AR-MARO,30
E-TH-MATCB,I-AR-METAG,32545
E-TH-MATCO,I-AR-METAG,549
E-TH-TKC,I-AR-METAG,110
E-TH-JBT,I-AR-MG,1891
E-TH-JBT2,I-AR-MG,550
E-TH-0TBSM,I-AR-MTA,3969
E-TH-ATC,I-AR-MTA,3958
E-TH-DAT,I-AR-MTA,213
E-TH-SAS,I-AR-MTA,301
E-TH-TBBV,I-AR-MTA,1189
E-TH-TBJ1,I-AR-MTA,3969
E-TH-TBSC,I-AR-MTA,3958
E-TH-TBSI,I-AR-MTA,213
E-TH-TBSJ,I-AR-MTA,301
E-TH-TBSO,I-AR-MTA,1189
E-TH-TBSQ,I-AR-MTA,39312
E-TH-TBSR,I-AR-MTA,90491
E-TH-TBTM,I-AR-MTA,1927
E-TH-TBUN,I-AR-MTA,10668
E-TH-TGAS2,I-AR-MTA,6792
E-TH-TRT,I-AR-MTA,10891
E-TH-TSB,I-AR-MTA,3402
E-TH-ATC,I-AR-MTLSA,24714
E-TH-HMMT1,I-AR-MTLSA,29745
E-TH-AGC,I-AR-PILKI,68
E-TH-ASIA,I-AR-PILKI,37
E-TH-CHI,I-AR-PILKI,2602
E-TH-NFCT,I-AR-PILKI,4249
E-TH-AAA,I-AR-ROMET,1539
E-TH-ATC,I-AR-ROMET,737
E-TH-NFCT,I-AR-ROMET,314
E-TH-YNP,I-AR-ROMET,161
E-TH-YSP,I-AR-SIDER,357
E-TH-ATC,I-AR-TTA,589
E-TH-CTC,I-AR-TTA,6903
E-TH-MIT,I-AR-TTA,89870
E-TH-TOGO,I-AR-TTA,11
E-TH-BKF,I-AR-VALEO,176
E-TH-NMT,I-AR-VALEO,766
E-TH-ATC,I-AR-VENTA,568
E-TH-ITC,I-AR-VENTA,26
E-TH-DAT,I-AR-VUTEQ,14
E-TH-FAC,I-AR-VUTEQ,41
E-TH-NFCT,I-AR-VUTEQ,659
E-TH-SAS,I-AR-VUTEQ,357
E-TH-STT,I-AR-VUTEQ,436
E-TH-TBSO,I-AR-VUTEQ,77
E-TH-TGAS2,I-AR-VUTEQ,336
I-AR-AC,I_AR,46211
I-AR-ALLE,I_AR,6410
I-AR-CORDE,I_AR,41
I-AR-DENSO,I_AR,659
I-AR-EMCON,I_AR,357
I-AR-FRIC,I_AR,436
I-AR-GPPD,I_AR,77
I-AR-GUIDI,I_AR,336
I-AR-HUT,I_AR,46211
I-AR-INERG,I_AR,6410
I-AR-JTEKT,I_AR,15338
I-AR-MARO,I_AR,336
I-AR-METAG,I_AR,46211
I-AR-MG,I_AR,6410
I-AR-MTA,I_AR,15338
I-AR-MTLSA,I_AR,7503
I-AR-PILKI,I_AR,6410
I-AR-ROMET,I_AR,15338
I-AR-SIDER,I_AR,7503
I-AR-TTA,I_AR,4222
I-AR-VALEO,I_AR,46211
I-AR-VENTA,I_AR,6410
I-AR-VUTEQ,I_AR,4222
