source,target,value
E-TH-AHT,I-AR-GUIDI,1776
E-TH-ATC,I-AR-GUIDI,270
E-TH-CAP,I-AR-GUIDI,1295
E-TH-HMMT1,I-AR-GUIDI,1855
E-TH-IRC,I-AR-GUIDI,1743
E-TH-OTC,I-AR-GUIDI,61
E-TH-YSP,I-AR-GUIDI,2418
E-TH-AST,I-AR-HUT,462
E-TH-KSP,I-AR-HUT,4218
E-TH-NMT,I-AR-HUT,4387
E-TH-TCPT,I-AR-HUT,444
E-TH-THB2,I-AR-HUT,1020
E-TH-THC2,I-AR-HUT,15707
E-TH-AHT1B,I-AR-INERG,6320
E-TH-DSTH3,I-AR-INERG,8118
E-TH-NFCT,I-AR-INERG,303
E-TH-TGAS2,I-AR-INERG,16542
E-TH-TOGO,I-AR-INERG,1571
E-TH-JATHJ,I-AR-JTEKT,116
E-TH-ATC,I-AR-MARO,588
E-TH-NSW1,I-AR-MARO,52
E-TH-OTC,I-AR-MARO,10
E-TH-MATCB,I-AR-METAG,49
E-TH-MATCO,I-AR-METAG,12
E-TH-TKC,I-AR-METAG,638
E-TH-JBT,I-AR-MG,33736
E-TH-JBT2,I-AR-MG,748
E-TH-0TBSM,I-AR-MTA,2617
E-TH-ATC,I-AR-MTA,2
E-TH-DAT,I-AR-MTA,10645
E-TH-SAS,I-AR-MTA,3445
E-TH-TBBV,I-AR-MTA,79
E-TH-TBJ1,I-AR-MTA,1178
E-TH-TBSC,I-AR-MTA,19689
E-TH-TBSI,I-AR-MTA,771
E-TH-TBSJ,I-AR-MTA,6072
E-TH-TBSO,I-AR-MTA,184
E-TH-TBSQ,I-AR-MTA,219
E-TH-TBSR,I-AR-MTA,290454
E-TH-TBTM,I-AR-MTA,1691
E-TH-TBUN,I-AR-MTA,70
E-TH-TGAS2,I-AR-MTA,14
E-TH-TRT,I-AR-MTA,8418
E-TH-TSB,I-AR-MTA,2102
E-TH-ATC,I-AR-MTLSA,632
E-TH-HMMT1,I-AR-MTLSA,170
E-TH-AGC,I-AR-PILKI,46137
E-TH-ASIA,I-AR-PILKI,20908
E-TH-CHI,I-AR-PILKI,39312
E-TH-NFCT,I-AR-PILKI,90491
E-TH-AAA,I-AR-ROMET,1927
E-TH-ATC,I-AR-ROMET,10668
E-TH-NFCT,I-AR-ROMET,6792
E-TH-YNP,I-AR-ROMET,10891
E-TH-YSP,I-AR-SIDER,3402
E-TH-ATC,I-AR-TTA,24714
E-TH-CTC,I-AR-TTA,29745
E-TH-MIT,I-AR-TTA,68
E-TH-TOGO,I-AR-TTA,37
E-TH-BKF,I-AR-VALEO,2602
E-TH-NMT,I-AR-VALEO,4249
E-TH-ATC,I-AR-VENTA,1539
E-TH-ITC,I-AR-VENTA,737
E-TH-DAT,I-AR-VUTEQ,314
E-TH-FAC,I-AR-VUTEQ,161
E-TH-NFCT,I-AR-VUTEQ,357
E-TH-SAS,I-AR-VUTEQ,589
E-TH-STT,I-AR-VUTEQ,6903
E-TH-TBSO,I-AR-VUTEQ,89870
E-TH-TGAS2,I-AR-VUTEQ,11
E-PH-TRP,I-AU-TBAU2,176
E-TH-TBSK,I-AU-ARAU1,766
E-TH-TRT,I-AU-DMGTH,568
E-TH-TBSQ,I-AU-TBAU1,26
E-TH-TBSR,I-AU-TBAU1,14
E-TH-TGAS1,I-AU-UNI,41
E-TH-YSP,I-AU-WAL,659
E-TW-QR,I-AU-DMGTW,357
E-TW-FY,I-AU-TGAU,436
E-TW-FY1fy,I-AU-TGAU,77
E-TW-FY2VV,I-AU-TGAU,336
E-TW-FY3kl,I-AU-TGAU,6156
E-TW-FY4td,I-AU-TGAU,8
E-TW-FY5zl,I-AU-TGAU,7856
E-TW-FY7yl,I-AU-TGAU,5413
E-TW-FY1fy,I-AU-TGAU1,215493
E-TW-FY3kl,I-AU-TGAU1,2799
E-CN-RIMA,I-BE-TRP,21316
E-ID-ANI,I-BR-BOSCH,42
E-ID-DSIA,I-BR-BROSE,3818
E-ID-AII,I-BR-VALEO,4547
E-TH-TKC,I-BR-ART1,13
E-TH-TKC,I-BR-ART2,639
E-TH-ASIC,I-BR-BAROS,179
E-TH-ATC,I-BR-BAROS,4
E-TH-CTC,I-BR-BAROS,32
E-TH-NOK,I-BR-BAROS,714
E-TH-PANA,I-BR-BAROS,316
E-TH-HMMT2,I-BR-BNTLR,7132
E-TH-BANDO,I-BR-BOSCH,8367
E-TH-ATC,I-BR-BUDAI,778
E-TH-HMMT1,I-BR-BUDAI,3824
E-TH-DAT2,I-BR-DENS1,2904
E-TH-AAA,I-BR-DENSO,7
E-TH-DAT2,I-BR-DENSO,40
E-TH-DSTH1,I-BR-DENSO,30
E-TH-SRP,I-BR-DENSO,121
E-TH-TBAFT,I-BR-DENSO,48
E-TH-YSP1C,I-BR-EMCOM,102
E-TH-NOK,I-BR-GKN,5950
E-TH-JATHJ,I-BR-JTEKT,3906
E-TH-TCPTJ,I-BR-JTEKT,247
E-TH-TER1J,I-BR-JTEKT,98
E-TH-LOC,I-BR-KANTO,190
E-TH-IAT,I-BR-PECVA,75
E-TH-TKC,I-BR-SIAN,490
E-TH-TKC2,I-BR-SIAN,15
E-TH-TBSM,I-BR-TAKAT,60
E-TH-TRT,I-BR-TAKAT,1344
E-TH-TCPT1,I-BR-TBORG,688
E-TH-TER1,I-BR-TBORG,2093
E-TH-ATC,I-BR-TDBG,226
E-TH-TBSM,I-BR-TKRKA,160
E-TH-SAS,I-BR-TRIMT,3682
E-TH-SAS3,I-BR-TRIMT,465
E-TH-TBIW,I-BR-TRIMT,9216
E-TH-ADVI1,I-BR-TRW,350
E-TH-ADVI2,I-BR-TRW,2080
E-TH-ATC,I-BR-TRW,229
E-TH-SSMC,I-BR-ZF,14991
E-TW-FY,I-BR-TAKAT,184
E-ID-AII,I-CN-ADVIC,1270
E-ID-ANI,I-CN-ANI,396
E-TH-MSC,I-CN-FNG,744
E-TH-TGAS1,I-CN-TJTG,1721
E-TH-TGAS2,I-CN-TJTG,44
E-TH-TRT,I-CN-TRCT,3141
E-TH-MTAT,I-CN-TTAC,7089
E-TH-SSMC,I-CN-YKS,4435
E-TH-SKMC,I-CN-NSSC,2925
E-TH-TIT,I-CN-NSSC,5453
E-TH-YSP,I-CN-SGGZ,43
E-TH-YSP1C,I-CN-SGGZ,6375
E-TH-TCPT1,I-CN-TRG,372
E-TH-TER1,I-CN-TRG,7
E-TH-TAC,I-CN-BSCN,11720
E-TH-NETH,I-CZ-DMCZ,190
E-TH-TBSG,I-EG-ALIAA,2173
E-TH-DSTH1,I-EG-AUTOC,339
E-TH-DSTH2,I-EG-AUTOC,110
E-TH-TGAS3,I-EG-AUTOC,682
E-TH-FJT,I-EG-AUTOT,6
E-TH-PANA1,I-EG-AUTOT,4873
E-TH-AGC,I-EG-DRGRE,2122
E-TH-NFCT,I-EG-DRGRE,5218
E-TH-YSP,I-EG-ECES,9238
E-TH-YSP1C,I-EG-ECES,853
E-TH-ADVI1,I-EG-EGYPA,1454
E-TH-ADVI5,I-EG-EGYPA,17
E-TH-ADVI7,I-EG-EGYPA,2006
E-TH-ADVI8,I-EG-EGYPA,346
E-TH-AIT,I-EG-EGYPA,56
E-TH-ATC,I-EG-EGYPA,109
E-TH-BSK,I-EG-EGYPA,299
E-TH-BSNCR,I-EG-EGYPA,25
E-TH-CLPI,I-EG-EGYPA,16
E-TH-HMME1,I-EG-EGYPA,536
E-TH-HMME2,I-EG-EGYPA,200
E-TH-HMMT1,I-EG-EGYPA,528
E-TH-JTEKT,I-EG-EGYPA,48
E-TH-NOK,I-EG-EGYPA,3024
E-TH-SCC,I-EG-EGYPA,135
E-TH-TAC,I-EG-EGYPA,96
E-TH-TER1,I-EG-EGYPA,32
E-TH-TFS,I-EG-EGYPA,18
E-TH-TTL,I-EG-EGYPA,68
E-TH-YNP,I-EG-EGYPA,23
E-TH-DSTH1,I-EG-ELTER,256
E-TH-DSTH2,I-EG-ELTER,1280
E-TH-ITC1,I-EG-FIMCO,48
E-TH-ITC2,I-EG-FIMCO,189
E-TH-ITC3,I-EG-FIMCO,19
E-TH-DAT,I-EG-IDACO,12
E-TH-YICA1,I-EG-IDACO,58
E-TH-YICA2,I-EG-IDACO,120
E-TH-YICA3,I-EG-IDACO,35
E-TH-YICA4,I-EG-IDACO,28
E-TH-SAS,I-EG-MOBIC,106
E-TH-SAS1,I-EG-MOBIC,279
E-TH-SAS2,I-EG-MOBIC,628
E-TH-TBSO,I-EG-MOBIC,108
E-TH-THN3,I-EG-MOBIC,2
E-TH-HOF,I-EG-TMEE,1
E-TH-MATCB,I-EG-TMEE,22
E-TH-NETH,I-GB-DMUK,461
E-TH-NOK,I-GB-GKN,104
E-ID-AHI,I-IN-STTI,105
E-ID-ABA,I-IN-TBI,142
E-ID-SC,I-IN-TGKL,339
E-ID-STEP,I-IN-TGKL,238
E-MY-APMPL,I-IN-TKML,6904
E-TH-ATC,I-IN-ADTYA,447
E-TH-ADVI1,I-IN-BI-AC,3
E-TH-ADVI3,I-IN-BI-CP,31
E-TH-TAC,I-IN-BRDGE,278
E-TH-DAT,I-IN-DNKI,7
E-TH-DAT2,I-IN-DNKI,1425
E-TH-NOK,I-IN-DNKI,419
E-TH-THAPT,I-IN-DNKI,23453
E-TH-ATC,I-IN-EMCON,8548
E-TH-YSP1C,I-IN-EMCON,762
E-TH-TCPT1,I-IN-GABR,11680
E-TH-TER1,I-IN-GABR,96
E-TH-ATC,I-IN-IJLCH,11314
E-TH-IHI,I-IN-INRGY,24097
E-TH-AHT,I-IN-JAS,1091
E-TH-NFCT,I-IN-JOAI,3342
E-TH-CHI,I-IN-MATE,2276
E-TH-DAT,I-IN-MATE,514
E-TH-ATC,I-IN-NTTF,322
E-TH-ATC,I-IN-STTI,1425
E-TH-HMMT1,I-IN-STTI,30
E-TH-LOC,I-IN-STTI,186
E-TH-PANA,I-IN-STTI,4139
E-TH-SAB,I-IN-STTI,11
E-TH-YNP,I-IN-STTI,356
E-TH-TBSK,I-IN-SUPTR,135
E-TH-IAT,I-IN-TACO,164
E-TH-NFCT,I-IN-TACO,534
E-TH-TOC,I-IN-TACO,171
E-TH-TCY,I-IN-TAFE,13
E-TH-0TBSM,I-IN-TBI,37404
E-TH-ATC,I-IN-TBI,360
E-TH-LOC,I-IN-TBI,1633
E-TH-SAS,I-IN-TBI,163
E-TH-TBAFT,I-IN-TBI,271
E-TH-TBBV,I-IN-TBI,264
E-TH-TBSC,I-IN-TBI,197
E-TH-TBSJ,I-IN-TBI,13
E-TH-TBSQ,I-IN-TBI,863
E-TH-TBSR,I-IN-TBI,108
E-TH-TBSS,I-IN-TBI,73
E-TH-TRT,I-IN-TBI,44714
E-TH-TSB,I-IN-TBI,8663
E-TH-YICAP,I-IN-TBI,72
E-TH-ATC,I-IN-TGKL,593
E-TH-DAT,I-IN-TGKL,36
E-TH-NFCT,I-IN-TGKL,2981
E-TH-NMT,I-IN-TGKL,11403
E-TH-SAP,I-IN-TGKL,158
E-TH-TGAS1,I-IN-TGKL,21171
E-TH-TGAS2,I-IN-TGKL,74904
E-TH-CLPI,I-IN-TKAP,745
E-TH-CATA,I-IN-TKML,3862
E-TH-NFCT,I-IN-TKML,4880
E-TH-YSP,I-IN-TKML,110
E-TH-BANDO,I-IN-DNIN,1165
E-TH-FRT,I-IN-DNIN,226
E-TH-TKC,I-IN-IJL,1415
E-TH-JATHJ,I-IN-KOYO,148
E-TH-KJT,I-IN-KOYO,10
E-TH-TCPTJ,I-IN-KOYO,454
E-TH-TER1J,I-IN-KOYO,82017
E-TH-SSMC,I-IN-SOM,185
E-TH-DSST,I-IN-TGIN,2975
E-TH-TGAS2,I-IN-TGIN,4
E-TH-TGAS4,I-IN-TGIN,1931
E-TH-TER1,I-IN-TRELL,1003
E-TH-ADVI1,I-I3-BI-AC,1838
E-TH-ADVI3,I-I3-BI-CP,1740
E-TH-TAC,I-I3-BRDGE,3309
E-TH-TKC,I-I3-IJLCH,4513
E-TH-IHI,I-I3-INRGY,14
E-TH-AHT,I-I3-JAS,148
E-CN-GOSEI,I-ID-JID,1936
E-MY-AUTOV,I-ID-AAA,1
E-MY-APMPL,I-ID-IPTI,25447
E-MY-APMPL,I-ID-ITG,10136
E-MY-NIFCO,I-ID-NIFCO,642
E-PH-FTECH,I-ID-NMI,1165
E-PH-FEAP,I-ID-TRI,1689
E-PH-TRP,I-ID-TRI,75
E-TH-SAS,I-ID-AAA,878
E-TH-0TBSM,I-ID-ABA,34
E-TH-ATC,I-ID-ABA,2
E-TH-ETT,I-ID-ABA,1000
E-TH-MSC,I-ID-ABA,191
E-TH-SKT,I-ID-ABA,4000
E-TH-TBBV,I-ID-ABA,2400
E-TH-TBJ1,I-ID-ABA,1002
E-TH-TBSC,I-ID-ABA,22783
E-TH-TBSI,I-ID-ABA,622
E-TH-TBSJ,I-ID-ABA,164559
E-TH-TBSO,I-ID-ABA,5570
E-TH-TBSQ,I-ID-ABA,20085
E-TH-TBSR,I-ID-ABA,16262
E-TH-TBSS,I-ID-ABA,108
E-TH-TBTB,I-ID-ABA,557
E-TH-TBUN,I-ID-ABA,709
E-TH-TCY,I-ID-ABA,634
E-TH-TGAS2,I-ID-ABA,4139
E-TH-TRT,I-ID-ABA,2492
E-TH-TSB,I-ID-ABA,12
E-TH-YFT,I-ID-ABA,102691
E-TH-ATC,I-ID-AHI,19943
E-TH-DSTH3,I-ID-AHI,6194
E-TH-NFCT,I-ID-AHI,261643
E-TH-NSW1,I-ID-AHI,355
E-TH-PIOLA,I-ID-AHI,13
E-TH-SK,I-ID-AHI,939
E-TH-TGAS2,I-ID-AHI,209
E-TH-YNP,I-ID-AHI,18
E-TH-ATC,I-ID-AMA,789
E-TH-DAT,I-ID-AOP,43130
E-TH-NSW1,I-ID-AOP,6
E-TH-MEC,I-ID-AOPNM,2
E-TH-TAC,I-ID-AOPNM,23722
E-TH-TGAS2,I-ID-ASH,1639
E-TH-ATC,I-ID-ATI,4184
E-TH-DAT,I-ID-CMW,51
E-TH-DAT,I-ID-DEN,405
E-TH-DAT2,I-ID-DEN,2354
E-TH-TRT,I-ID-DEN,3264
E-TH-MATCB,I-ID-DLOY,984
E-TH-MATCO,I-ID-DLOY,16
E-TH-SAS,I-ID-DLOY,450
E-TH-TKC,I-ID-DLOY,304
E-TH-CLE,I-ID-FII,1379
E-TH-YMPPD,I-ID-FII,25738
E-TH-TCPT1,I-ID-FKK,7
E-TH-TER1,I-ID-FKK,42
E-TH-ATC,I-ID-GSS,2696
E-TH-NFCT,I-ID-GSS,2223
E-TH-HMMT2,I-ID-HMMI,1072
E-TH-TKC,I-ID-ICH,68932
E-TH-ATC,I-ID-IGP,160
E-TH-HMMT1,I-ID-IGP,544
E-TH-JATH1,I-ID-IGP,19878
E-TH-NOK,I-ID-IGP,140
E-TH-SCC,I-ID-IGP,12193
E-TH-HTT,I-ID-IPTI,501
E-TH-SAS,I-ID-IPTI,3870
E-TH-OILES,I-ID-ISS,764
E-TH-SGST,I-ID-ISS,9675
E-TH-SAS,I-ID-ITG,37
E-TH-ATC,I-ID-JID,2485
E-TH-YSP,I-ID-KFN,4581
E-TH-YSP1C,I-ID-KFN,4358
E-TH-CCA,I-ID-KOITO,31086
E-TH-TAP,I-ID-KOITO,20603
E-TH-TKC,I-ID-KOITO,3519
E-TH-TKC5,I-ID-KOITO,3038
E-TH-TPM,I-ID-KOITO,180
E-TH-UNC,I-ID-KOITO,521
E-TH-DSC,I-ID-KYB,7
E-TH-TPT,I-ID-KYB,368
E-TH-ATC,I-ID-MAJ,21
E-TH-ATC,I-ID-MES,103914
E-TH-APC,I-ID-MKSD,6206
E-TH-MTAT,I-ID-MTAT,513
E-TH-SAMCO,I-ID-MTAT,2776
E-TH-ATC,I-ID-NHCH,4
E-TH-ATC,I-ID-NTC,18
E-TH-HMMT1,I-ID-NTC,86
E-TH-JFB,I-ID-NTC,343
E-TH-LOC,I-ID-NTC,1050
E-TH-PANA,I-ID-NTC,2737
E-TH-SAB,I-ID-NTC,3612
E-TH-YNP,I-ID-NTC,2087
E-TH-YSP,I-ID-NTC,37310
E-TH-NTS,I-ID-NTI,1594
E-TH-ATC,I-ID-SC,11
E-TH-DAT,I-ID-SC,1060
E-TH-DMS,I-ID-SC,5132
E-TH-FAC,I-ID-SC,14513
E-TH-SAS,I-ID-SC,429
E-TH-STNLY,I-ID-SC,3637
E-TH-SUM1,I-ID-SC,343
E-TH-TCY,I-ID-SC,513
E-TH-TGAS2,I-ID-SC,11
E-TH-TKC,I-ID-SC,9444
E-TH-ATC,I-ID-SDT,3162
E-TH-BSNCR,I-ID-SII,57
E-TH-ITTC,I-ID-SII,7630
E-TH-MIT,I-ID-SII,9524
E-TH-TOGO,I-ID-SII,127
E-TH-SGST,I-ID-SIM4W,884
E-TH-ATC,I-ID-SJI,7035
E-TH-SSMC,I-ID-SOMIC,300
E-TH-APC,I-ID-STEP,9989
E-TH-ATC,I-ID-STEP,984
E-TH-SKT,I-ID-STEP,10
E-TH-ADVI1,I-ID-TDW,86
E-TH-ADVI2,I-ID-TDW,1576
E-TH-ADVI3,I-ID-TDW,5
E-TH-NFCT,I-ID-TEC,50
E-TH-DSST,I-ID-TGSSI,209
E-TH-TGAS1,I-ID-TGSSI,39
E-TH-TGAS2,I-ID-TGSSI,2788
E-TH-ATC,I-ID-TMMIN,673
E-TH-NFCT,I-ID-TMMIN,143
E-TH-TKC,I-ID-TMMIN,634
E-TH-FAST,I-ID-TRI,218
E-TH-TRT2,I-ID-TRI,16078
E-TH-TSB2,I-ID-TRI,9278
E-TH-TSB2,I-ID-TRSI,54538
E-TH-PIOLA,I-ID-TSC,1691
E-TH-TPT,I-ID-YIMM,1708
E-TH-EH,I-ID-YS,3052
E-TW-AS,I-ID-ABA,47248
E-TW-EL,I-ID-AII,7
E-TH-KDCT,I-MX-ASMX,91
E-ID-ABA,I-MY-AISB,576
E-ID-SJI,I-MY-AISB,1261
E-ID-MEIWA,I-MY-APMP,253866
E-ID-MDI,I-MY-DELL,59778
E-ID-ABA,I-MY-JCA,10526
E-ID-AMFG,I-MY-MSG,23
E-ID-ANI,I-MY-PEMSB,23936
E-ID-ATI,I-MY-PEMSB,1221
E-ID-CBND,I-MY-PEMSB,45
E-ID-FNI,I-MY-PEMSB,1128
E-ID-SC,I-MY-TABM,4934
E-ID-ABA,I-MY-TBU,8363
E-ID-TMMIN,I-MY-TBU,6398
E-ID-TAM,I-MY-UMWT,391
E-ID-ANI,I-MY-USISB,202
E-ID-AHI,I-MY-UVISB,308
E-ID-ANI,I-MY-UVISB,980
E-PH-TRP,I-MY-TBU,21338
E-TH-UNC,I-MY-AIC,14494
E-TH-0TBSM,I-MY-AISB,33238
E-TH-ATC,I-MY-AISB,4425
E-TH-TBBV,I-MY-AISB,579
E-TH-TBJ1,I-MY-AISB,66937
E-TH-TBSO,I-MY-AISB,16447
E-TH-WISDM,I-MY-AISB,92
E-TH-YSP,I-MY-AISB,620
E-TH-YSP1C,I-MY-AISB,6430
E-TH-TBSQ,I-MY-APMP,163
E-TH-TCPT1,I-MY-APMS,1549
E-TH-TER1,I-MY-APMS,164
E-TH-BSK,I-MY-ASSB,1185
E-TH-SUM1,I-MY-ASSB,671
E-TH-TGAS2,I-MY-ASSB,19
E-TH-TRT,I-MY-ASSB,16707
E-TH-CHI,I-MY-CSE,5307
E-TH-TGAS2,I-MY-CSE,40
E-TH-KI,I-MY-DELL,93120
E-TH-MATCB,I-MY-DELL,46023
E-TH-MATCO,I-MY-DELL,132
E-TH-TKC,I-MY-DELL,132
E-TH-AAA,I-MY-DNMY,2483
E-TH-DAT,I-MY-DNMY,82
E-TH-DAT2,I-MY-DNMY,13
E-TH-TGAS3,I-MY-DNMY,3252
E-TH-ASICJ,I-MY-JAMY,619
E-TH-BTS,I-MY-JAMY,984
E-TH-EHJ,I-MY-JAMY,2413
E-TH-JATHJ,I-MY-JAMY,45
E-TH-SSMCJ,I-MY-JAMY,4766
E-TH-TCPTJ,I-MY-JAMY,35575
E-TH-TER1J,I-MY-JAMY,852
E-TH-TGA1J,I-MY-JAMY,2130
E-TH-TMR,I-MY-JAMY,4975
E-TH-YICA4,I-MY-JKWH,1884
E-TH-TCPT1,I-MY-KYB,57
E-TH-TER1,I-MY-KYB,2259
E-TH-TBZN,I-MY-LEAR,2397
E-TH-APC,I-MY-MAO,169
E-TH-APC,I-MY-MAOS,29235
E-TH-ITC,I-MY-MAOS,128294
E-TH-AGC,I-MY-MSG,2137
E-TH-IRC,I-MY-MSG,11417
E-TH-TGAS2,I-MY-MSG,557
E-TH-TOC,I-MY-MSG,626
E-TH-CMWT,I-MY-OMI,1104
E-TH-HOF,I-MY-OMI,575
E-TH-ATC,I-MY-OSI,3048
E-TH-NHK3,I-MY-OSI,888
E-TH-0TBK,I-MY-PEMSB,1500
E-TH-API,I-MY-PEMSB,13430
E-TH-ART,I-MY-PEMSB,20614
E-TH-DMC,I-MY-PEMSB,4659
E-TH-JTEKT,I-MY-PEMSB,67
E-TH-KPC,I-MY-PEMSB,1662
E-TH-SNPR,I-MY-PEMSB,2678
E-TH-SSI,I-MY-PEMSB,2424
E-TH-SUN,I-MY-PEMSB,1253
E-TH-TKR,I-MY-PEMSB,88
E-TH-TBSS,I-MY-PHN,16
E-TH-ATC,I-MY-PIO,21102
E-TH-MSCC,I-MY-PMSB,2865
E-TH-TATC,I-MY-PONG,38566
E-TH-TGAS2,I-MY-PRO,21563
E-TH-UNP,I-MY-ROV,2713
E-TH-ATC,I-MY-SCAI,19614
E-TH-TBAG,I-MY-SUG,4433
E-TH-TBSG,I-MY-SUG,416
E-TH-AHT1B,I-MY-TABM,8934
E-TH-AIAP,I-MY-TABM,1582
E-TH-ATC,I-MY-TABM,5832
E-TH-CAP,I-MY-TABM,15
E-TH-CAP2,I-MY-TABM,48389
E-TH-DAT,I-MY-TABM,380
E-TH-LIS,I-MY-TABM,1104
E-TH-MATCO,I-MY-TABM,35
E-TH-NSW2,I-MY-TABM,27
E-TH-OTC,I-MY-TABM,1036
E-TH-SAB,I-MY-TABM,280
E-TH-SMM,I-MY-TABM,150
E-TH-TEC,I-MY-TABM,2160
E-TH-TGAS1,I-MY-TABM,1363
E-TH-TGAS2,I-MY-TABM,633
E-TH-TGAS5,I-MY-TABM,48396
E-TH-TKTO,I-MY-TABM,12597
E-TH-TMT,I-MY-TABM,1419
E-TH-TRT,I-MY-TABM,9734
E-TH-TSA,I-MY-TABM,47
E-TH-VCS,I-MY-TABM,3765
E-TH-YNP,I-MY-TABM,63802
E-TH-YSP,I-MY-TABM,7396
E-TH-YSP1C,I-MY-TABM,5420
E-TH-0TBSM,I-MY-TBU,1669
E-TH-APC,I-MY-TBU,57547
E-TH-ATC,I-MY-TBU,12444
E-TH-NFCT,I-MY-TBU,8568
E-TH-NHK1,I-MY-TBU,464
E-TH-SAS,I-MY-TBU,1334
E-TH-TBBV,I-MY-TBU,3039
E-TH-TBJ1,I-MY-TBU,5938
E-TH-TBLI,I-MY-TBU,303
E-TH-TBSB,I-MY-TBU,40013
E-TH-TBSC,I-MY-TBU,13490
E-TH-TBSI,I-MY-TBU,149427
E-TH-TBSJ,I-MY-TBU,1260
E-TH-TBSK,I-MY-TBU,763
E-TH-TBSMC,I-MY-TBU,730
E-TH-TBSO,I-MY-TBU,3230
E-TH-TBSQ,I-MY-TBU,1793
E-TH-TBSR,I-MY-TBU,380
E-TH-TBTM,I-MY-TBU,10137
E-TH-TBUN,I-MY-TBU,573
E-TH-TGAS2,I-MY-TBU,1138
E-TH-TRT,I-MY-TBU,1411
E-TH-TSB,I-MY-TBU,1053
E-TH-TKen,I-MY-TKen,28973
E-TH-DAT,I-MY-TSP,987
E-TH-BSK,I-MY-UMWT,6309
E-TH-NHK2,I-MY-UMWT,113628
E-TH-AHT,I-MY-USISB,25521
E-TH-ATC,I-MY-UVISB,258745
E-TH-DSTH3,I-MY-UVISB,653
E-TH-NSW1,I-MY-UVISB,616
E-TH-TGAS2,I-MY-UVISB,1896
E-TH-TOGO,I-MY-UVISB,538
E-TW-AS,I-MY-MASS,16857
E-TW-TU,I-MY-PONG,13
E-CN-HOUAI,I-PH-TBPC,25
E-ID-NTC,I-PH-FTECH,170
E-ID-AOP,I-PH-KARL,10
E-ID-SC,I-PH-MPI,1103
E-ID-SEIWA,I-PH-PAC,49
E-ID-ABA,I-PH-TBPC,2665
E-ID-AHI,I-PH-VPMI,141
E-ID-ANI,I-PH-VPMI,267
E-MY-NIFCO,I-PH-SANOH,18
E-TH-SAS,I-PH-B4,7
E-TH-SAS3,I-PH-B4,126
E-TH-TEX34,I-PH-B4,256
E-TH-ATC,I-PH-BOPI,285
E-TH-IAT,I-PH-DAIHO,88
E-TH-TBSQ,I-PH-DAIHO,44
E-TH-SAS,I-PH-EMER,152
E-TH-SAS3,I-PH-EMER,81030
E-TH-TEX34,I-PH-EMER,8461
E-TH-ATC,I-PH-FTECH,847
E-TH-YNP,I-PH-FTECH,186
E-TH-TAI,I-PH-KARL,886
E-TH-NFCT,I-PH-KARZ,283
E-TH-TBSQ,I-PH-MANLY,96
E-TH-NFCT,I-PH-MPI,36
E-TH-NMT,I-PH-MPI,52
E-TH-AAA,I-PH-PAC,143
E-TH-AST,I-PH-PAC,98
E-TH-DAT,I-PH-PAC,8
E-TH-DAT2,I-PH-PAC,4
E-TH-NCRNT,I-PH-PAC,223
E-TH-NISEI,I-PH-PAC,94
E-TH-NOK,I-PH-PAC,127
E-TH-SNC,I-PH-PAC,25
E-TH-TGAS3,I-PH-PAC,47
E-TH-YSP,I-PH-RGC1,385
E-TH-YSP,I-PH-RGC2,432
E-TH-YSP1C,I-PH-RGC2,17
E-TH-ATC,I-PH-RMPC,16
E-TH-MIT,I-PH-SANOH,204
